k,links,affs,NMI,CHS,SS
12,complete,euclidean,0.5926758757719344,204.1355493845799,0.30989069354127785
7,average,cosine,0.563440523543562,73.69700564115527,0.09273147192519601
6,complete,cosine,0.5571501552367208,88.158113626998,0.13177499416868144
8,complete,cosine,0.509888344920138,69.86300651966106,0.08580075216684818
7,complete,cosine,0.5081036195070006,80.51486029880245,0.11081313279844673
8,average,cosine,0.5019079381529353,70.10235428546018,0.0755179282592483
2,complete,cityblock,0.4926824477163979,221.2882819081797,0.472150181285852
9,complete,cosine,0.48438986127852846,61.229738795395726,0.03530302948448687
9,average,cosine,0.4840548952722811,61.32007629402015,0.014510115077186398
10,average,cosine,0.46748064592261535,55.67882225075105,0.010917088791388056
10,complete,cosine,0.46697742791971125,57.419916506025615,0.02049242024215514
11,average,cosine,0.46682095427906534,49.92825739292544,-0.0026848864707882687
12,complete,cosine,0.45759705071239937,50.410016694378285,-0.0012297722592509934
11,complete,cosine,0.45306949619978604,52.588358878186206,0.02265637284692137
12,average,cosine,0.44508747066041754,46.79491141461794,-0.008846105515080556
2,complete,euclidean,0.37670259124927385,88.47936852405479,0.30391309058110383
2,ward,cityblock,,,
2,ward,cosine,,,
3,ward,cityblock,,,
3,ward,cosine,,,
4,ward,cityblock,,,
4,ward,cosine,,,
5,ward,cityblock,,,
5,ward,cosine,,,
6,ward,cityblock,,,
6,ward,cosine,,,
7,ward,cityblock,,,
7,ward,cosine,,,
8,ward,cityblock,,,
8,ward,cosine,,,
9,ward,cityblock,,,
9,ward,cosine,,,
10,ward,cityblock,,,
10,ward,cosine,,,
11,ward,cityblock,,,
11,ward,cosine,,,
12,ward,cityblock,,,
12,ward,cosine,,,
